,time,u_1205,v_1206,w_1204,P_4023,NEP1_56
0,2020-07-16 19:50:02,-11.335401466349166,12.977071436156661,-0.8266658457193333,11.990238281249974,0.12344039976596832
1,2020-07-16 19:55:02,-13.264125819249278,14.821011571272408,-0.8249384016651723,11.964646728515458,0.1260220631957054
2,2020-07-16 20:00:02,-14.75311416988314,15.589662029110476,-0.771328800454132,11.938398681640654,0.16170483082532883
3,2020-07-16 20:05:02,-15.173737230219425,15.048232080828745,-0.858956769515948,11.913754638671714,0.14855831861495972
4,2020-07-16 20:10:02,-16.808906452530454,17.162221219600973,-1.234715821729794,11.888993408202941,0.16512271016836166
5,2020-07-16 20:15:02,-17.880778840872633,18.46859910615116,-1.4241697071830728,11.865197998046892,0.173280481249094
6,2020-07-16 20:20:02,-18.996413225956946,17.46437532332778,-1.154669324863197,11.842971435546938,0.46995915472507477
7,2020-07-16 20:25:02,-17.732945746279352,16.976890688877415,-1.0497618648786182,11.821050781250104,0.2239178866147995
8,2020-07-16 20:30:02,-19.90987117691092,18.09308306721523,-1.328509019681177,11.799002197265612,0.19957520067691803
9,2020-07-16 20:35:02,-20.723555491821703,19.708422706074675,-1.2332829548469586,11.77715625000024,0.18537526950240135
10,2020-07-16 20:40:02,-21.088096904298375,20.67289610782696,-1.6303096765359608,11.755755615234284,0.24291042238473892
11,2020-07-16 20:45:02,-21.924856273857,21.163111164268685,-1.5530004155672874,11.73565673828154,0.2526410482823849
12,2020-07-16 20:50:02,-24.737550372794455,21.63199638306853,-2.0637236749541366,11.715355468750035,2.2609304636716843
13,2020-07-16 20:55:02,-23.482598785929422,20.072052645657763,-1.5249138125973805,11.695417724609328,4.741377346217632
14,2020-07-16 21:00:02,-24.64280251930126,21.881472054062378,-1.8635805479839345,11.676114746093653,4.865074008703232
15,2020-07-16 21:05:02,-24.365689344894257,23.0003586081854,-2.0956089035359797,11.657135009765511,4.834669567644596
16,2020-07-16 21:10:02,-24.07882003492203,22.41637954261903,-1.8756955812757459,11.638085693359438,4.93109667673707
17,2020-07-16 21:15:02,-23.726051974414556,20.969817417834655,-2.1706314790462753,11.619397705077942,1.018716897815466
18,2020-07-16 21:20:02,-22.999663879975625,20.46520789451257,-2.0918616639400387,11.60101513671861,0.2735373005270958
19,2020-07-16 21:25:02,-24.036225880290132,20.61334259977403,-1.457864370983768,11.581117187500134,0.4339168407022953
20,2020-07-16 21:30:02,-25.838464217683054,24.184228408077544,-2.4120626090200177,11.5595078124999,0.4135579988360405
21,2020-07-16 21:35:02,-24.442823831009665,23.028218109704678,-2.223524009332611,11.53968115234392,0.3493284806609154
22,2020-07-16 21:40:02,-22.149767971539998,20.099656913189243,-1.7933078353642007,11.519621093750205,0.32776864245533943
23,2020-07-16 21:45:02,-23.59743276109333,21.47856239585072,-2.0605138513625296,11.502234375000135,0.3394106402993202
24,2020-07-16 21:50:02,-22.547939576479322,19.64426493881963,-1.6832051677099216,11.484999267578251,0.3568507172167301
25,2020-07-16 21:55:02,-23.152196067480784,22.235392652536678,-1.9169780229146463,11.46693994140653,2.310458514839411
26,2020-07-16 22:00:02,-20.876246987389337,19.06168502219317,-1.7563712870800943,11.452034179687455,2.3321308754384518
27,2020-07-16 22:05:02,-23.232703636660524,20.445861703004827,-2.1707291935548465,11.436930175781013,3.6006800271570683
28,2020-07-16 22:10:02,-21.18829067957654,18.83080851232244,-1.717172559204368,11.42374218750001,3.548579663038254
29,2020-07-16 22:15:02,-21.188534574162965,18.082249164954472,-1.9827885980678197,11.41193310546897,0.350791122764349
30,2020-07-16 22:20:02,-19.883285202292704,16.987241015962354,-1.655605954802313,11.40245141601561,0.43088391423225403
31,2020-07-16 22:25:02,-18.67348700627254,13.92293222760425,-1.6978403489172131,11.394453369140429,0.6923636607825756
32,2020-07-16 22:30:02,-19.981326794982923,15.749618940683916,-1.7029642441289121,11.387913330077934,3.923317566514015
33,2020-07-16 22:35:02,-21.78408508592181,17.280735469671285,-2.3779592395532467,11.38253686523422,2.8382733836770058
34,2020-07-16 22:40:02,-18.241091854499135,14.7169633214983,-1.4489380837067578,11.380385009765478,4.533230978995562
35,2020-07-16 22:45:02,-19.03524122304076,14.947848989102916,-1.9353903153464154,11.377610839843605,3.8221262022852898
36,2020-07-16 22:50:02,-18.608437765919795,14.57240509868473,-2.0595527908604296,11.376293457031148,3.776614125818014
37,2020-07-16 22:55:02,-16.97033876402755,13.69952101556362,-1.7968478170871518,11.376451904296815,4.033347982913256
38,2020-07-16 23:00:02,-16.334914040714963,13.961270024310034,-1.5852412488395318,11.378222167968634,3.662480805069208
39,2020-07-16 23:05:02,-16.552974071403124,14.019615640608796,-2.0734974925650267,11.381617675781103,3.7267248891294003
40,2020-07-16 23:10:02,-13.165579653928322,11.44133831241072,-1.310492749316755,11.386200927734206,3.8036705926060677
41,2020-07-16 23:15:02,-12.170208964463425,11.938028023185893,-1.6586381706373063,11.392150390624801,4.8711321875452995
42,2020-07-16 23:20:02,-11.271853078546375,9.627424702531309,-1.031125697655514,11.399079589843762,4.7508336789906025
43,2020-07-16 23:25:02,-10.396230490263257,8.933115473399921,-1.3151363152805808,11.407168945312623,4.805329106748104
44,2020-07-16 23:30:02,-9.310343144603932,8.406127275101063,-1.099481233925728,11.416413330078154,4.872969072312117
45,2020-07-16 23:35:02,-6.6601448288617116,7.218066388329273,-1.1271975331531854,11.426987304687342,4.6235801838338375
46,2020-07-16 23:40:02,-5.415881008316655,7.725108286604881,-1.2093795262475617,11.438304687499816,4.86195532605052
